call_id,call_datetime,agent_id,country,campaign_id,lead_id,attempt_number,dialer_status,talk_seconds,wrap_seconds,disposition,recording_flag
CALLXTR3GAE9DR,2025-05-15T19:39:41,AGZPEUWD,KE,CAMPVF1T2TAL,LEADWWXR5RDN,1,CONNECTED,13,51,OTHER,Y
CALLXXQMBCXBN9,2025-05-15T20:13:41,AGAWRHQS,UG,CAMPIBLJH75L,LEADKSWVA984,1,RING,0,0,,Y
CALLB0NAR41F9W,2025-05-15T20:14:29,AGB2RH73,ZM,CAMPJIUJV6OH,LEADRPEKZZMA,1,NO_ANSWER,0,0,,Y
CALL2YJW20C1N0,2025-05-15T20:15:55,AGZYKBB5,GH,CAMP4V30T9NT,LEADQB166XTF,1,CONNECTED,10,43,NOT_INTERESTED,Y
CALLYMSNGKZDUH,2025-05-15T20:16:37,AGNJXCML,ZM,CAMPW2PCN9T8,LEADFCL5EFJP,1,CONNECTED,284,15,NOT_INTERESTED,Y
CALLWKPGSLE3BF,2025-05-15T20:36:22,AGP62LTG,GH,CAMP4V30T9NT,LEADHDIU1JTK,1,NO_ANSWER,0,0,,Y
CALL95BU1ETLLG,2025-05-15T21:11:44,AGHZEDCJ,KE,CAMPVF1T2TAL,LEADQCYH207X,1,NO_ANSWER,0,0,,Y
CALLBZC0QIAPC7,2025-05-15T22:01:24,AGC3V8MO,ZM,CAMPJIUJV6OH,LEADMI560TOH,1,RING,0,0,,Y
CALLIVCGUEGXXR,2025-05-15T22:26:20,AGC3V8MO,KE,CAMPVF1T2TAL,LEADPPRCJIWV,1,BUSY,0,0,,Y
CALLU9LFEHJYUX,2025-05-15T22:40:03,AGP1M2VC,GH,CAMPX1945NQ4,LEADTOC1YFMH,1,CONNECTED,276,10,NOT_INTERESTED,Y
CALL33QHWLJFBL,2025-05-15T23:19:38,AGPUZHHO,ZM,CAMPW2PCN9T8,LEADN8ZTV05X,1,CONNECTED,69,14,NOT_INTERESTED,Y
CALLZE4XT37X6B,2025-05-15T23:22:57,AGABCZ7E,GH,CAMP7XVG0FN9,LEADJAF4WNSM,1,CONNECTED,52,43,NOT_INTERESTED,Y
CALL8CQS5GRZYR,2025-05-16T00:07:50,AG69XP7S,KE,CAMPFD0TVBDI,LEADXAFGOVCC,1,NO_ANSWER,0,0,,Y
CALLX1VIWRAC7E,2025-05-16T00:22:59,AGYQO89L,ZM,CAMPW2PCN9T8,LEADKRSN8L0U,1,CONNECTED,35,10,,Y
CALLA7RYZY26FO,2025-05-16T00:41:47,AGDGKOU3,ZM,CAMPJIUJV6OH,LEADD4HQFGHD,1,CONNECTED,180,15,OTHER,Y
CALL9ZRWJ66PLS,2025-05-16T00:42:52,AGGV3WAG,KE,CAMPVF1T2TAL,LEAD6ODR9HOU,1,NO_ANSWER,0,0,,Y
CALLOST218AZ9O,2025-05-16T00:50:59,AGFASEMU,UG,CAMPJ5PHT0HL,LEAD1X889U9W,1,NO_ANSWER,0,0,,Y
CALLFMZKJZ4PX5,2025-05-16T00:51:09,AG2NAFH6,ZM,CAMPJIUJV6OH,LEADZMF4V5I2,1,NO_ANSWER,0,0,,Y
CALL4FNK3LV2GK,2025-05-16T01:06:50,AGX7X8W4,UG,CAMPJ5PHT0HL,LEADSJ21GTCH,1,CONNECTED,37,5,OTHER,Y
CALLM0QQ21ZYEO,2025-05-16T01:13:10,AGX7X8W4,UG,CAMPJ5PHT0HL,LEAD7C0Q6ULH,1,CONNECTED,16,11,WRONG_NUMBER,N
CALL3XPN8ZKUVG,2025-05-16T01:34:13,AG37A67E,ZM,CAMPJIUJV6OH,LEADYVMTD503,1,CONNECTED,90,16,OTHER,Y
CALL1W15G5Y4YS,2025-05-16T01:35:13,AGYVKP6E,KE,CAMPFD0TVBDI,LEADIF86LTHE,1,CONNECTED,84,5,CALLBACK,Y
CALL2GNNFS1VHW,2025-05-16T01:48:53,AGJNJ0KX,ZM,CAMPJIUJV6OH,LEADYVMTD503,2,RING,0,0,,Y
CALL48USBNAJPN,2025-05-16T01:53:38,AGXTB80U,UG,CAMPIBLJH75L,LEAD4F1SRIKO,1,CONNECTED,126,61,WRONG_NUMBER,Y
CALLX35M1KH069,2025-05-16T02:08:42,AGG7V6TV,ZM,CAMPW2PCN9T8,LEAD92Y8LZ8C,1,RING,0,0,,Y
CALLC3GIIR4W4L,2025-05-16T02:09:00,AG37A67E,ZM,CAMPW2PCN9T8,LEADVCHRM3WP,1,NO_ANSWER,0,0,,Y
CALL21JYGHPO1V,2025-05-16T02:11:23,AG4HKSHR,GH,CAMP4V30T9NT,LEADQZ6CP7SA,1,NO_ANSWER,0,0,,Y
CALLVHWZFG582B,2025-05-16T02:48:58,AGX09LPX,KE,CAMPLC58DRC1,LEAD9MV9E40K,2,CONNECTED,158,5,TECH_ISSUE,Y
CALLS11JFLTKV5,2025-05-16T02:58:12,AGIPG6A2,ZM,CAMPW2PCN9T8,LEAD8VGZSXJZ,1,ABANDONED,0,0,,Y
CALLBQLS7KQSJ8,2025-05-16T03:24:06,AGQ1RUCL,ZM,CAMPW2PCN9T8,LEAD2XF8E8LD,1,CONNECTED,125,11,NOT_INTERESTED,Y
CALLNA0236QK3Q,2025-05-16T03:29:31,AGMRQP94,GH,CAMP4V30T9NT,LEADD3KZVH4F,1,RING,0,0,,Y
CALLYJFP9WXXQ9,2025-05-16T03:42:36,AG26XPJ2,GH,CAMPX1945NQ4,LEADL2L5B56B,1,NO_ANSWER,0,0,,Y
CALLDZLZ78CXBS,2025-05-16T03:43:49,AG3H93SI,ZM,CAMPJIUJV6OH,LEADLNZZRJO7,1,CONNECTED,191,28,WRONG_NUMBER,N
CALL7U5AVDCZ2Y,2025-05-16T04:25:42,AGGV3WAG,KE,CAMPFD0TVBDI,LEADCA7ZVKY2,1,ABANDONED,0,0,,Y
CALLC6CEDHAFS4,2025-05-16T04:41:52,AGD9Y8Y0,GH,CAMPX1945NQ4,LEADYN6ZJUY3,1,NO_ANSWER,0,0,,Y
CALLS0ILTXLJQW,2025-05-16T04:53:45,AGOXV6Y6,GH,CAMPX1945NQ4,LEAD8F5WAZ5B,1,RING,0,0,,Y
CALLUMLF1NUNIV,2025-05-16T05:01:21,AG0BJHPP,UG,CAMPJ5PHT0HL,LEADGPJDJHMX,1,CONNECTED,232,25,NOT_INTERESTED,Y
CALLXSKNNVV26H,2025-05-16T05:10:41,AGBXQNQ7,UG,CAMPIBLJH75L,LEAD1ONX0GU4,1,NO_ANSWER,0,0,,Y
CALL1WKADKMKKT,2025-05-16T05:10:46,AGJAZF74,KE,CAMPLC58DRC1,LEADTZRBZIRJ,1,NO_ANSWER,0,0,,Y
CALLVFHZLA6OVM,2025-05-16T05:17:54,AGB2RH73,ZM,CAMPW2PCN9T8,LEADEJZHYAPD,1,NO_ANSWER,0,0,,N
CALL6D9EJ8XEL1,2025-05-16T05:45:46,AGXOWRG1,GH,CAMPX1945NQ4,LEADBFSRKHGB,1,NO_ANSWER,0,0,,Y
CALLAA28T6P3WW,2025-05-16T05:47:10,AG53A8B5,KE,CAMPXEPQ85JS,LEADXJ17X6XD,1,RING,0,0,,Y
CALL545ZF18HK6,2025-05-16T05:50:05,AGRBLB8T,UG,CAMPIBLJH75L,LEADBMQW8EVR,1,CONNECTED,15,52,SALE,Y
CALLXWR5RFENK6,2025-05-16T05:58:03,AG5H9H4Y,GH,CAMP7XVG0FN9,LEADAEJGS5JV,1,CONNECTED,229,14,NOT_INTERESTED,Y
CALLMPWNQ2KVVT,2025-05-16T06:09:43,AG37A67E,ZM,CAMPJIUJV6OH,LEADGP1ZQD54,1,NO_ANSWER,0,0,,Y
CALLHBDC4KM90I,2025-05-16T06:53:07,AGNJXCML,ZM,CAMPW2PCN9T8,LEADZSA6HA3V,1,CONNECTED,133,14,NOT_INTERESTED,Y
CALL3O34MJ18D4,2025-05-16T07:00:23,AGTS03L3,GH,CAMP4V30T9NT,LEAD3H7T6UDO,1,BUSY,0,0,,Y
CALLABWG56WHLV,2025-05-16T07:33:54,AGC9YPC4,UG,CAMPIBLJH75L,LEAD1ONX0GU4,2,CONNECTED,64,60,,Y
CALLGX6Y0XVLK2,2025-05-16T08:04:19,AGPUZHHO,KE,CAMPPQK51FPK,LEADWARQCFK3,1,CONNECTED,10,14,OTHER,Y
CALLS32VL63SMF,2025-05-16T08:51:25,AGJVWSQ4,UG,CAMPJ5PHT0HL,LEADD32LX2TO,1,NO_ANSWER,0,0,,Y
CALLU2KPXNK5HT,2025-05-16T09:29:03,AG0BJHPP,KE,CAMPFD0TVBDI,LEADHHEQXIEE,1,CONNECTED,19,71,NOT_INTERESTED,Y
CALLRXYEG3LT5S,2025-05-16T09:34:31,AGQUILTE,UG,CAMPJ5PHT0HL,LEAD99F77LU8,1,ABANDONED,0,0,,N
CALL3D1XD1EQK8,2025-05-16T09:56:45,AG81GX5Y,ZM,CAMPW2PCN9T8,LEAD874OHL5T,1,RING,0,0,,Y
CALLKX35DTF2WE,2025-05-16T09:57:12,AGBXQNQ7,UG,CAMPJ5PHT0HL,LEADIQETK5LP,1,CONNECTED,14,16,CALLBACK,Y
CALL3N7NWLQHLQ,2025-05-16T09:57:53,AGYFTXDX,UG,CAMPIBLJH75L,LEAD02G3YU6V,1,CONNECTED,18,33,NOT_INTERESTED,Y
CALLNJOTWXZB5O,2025-05-16T10:00:59,AGX7X8W4,UG,CAMPJ5PHT0HL,LEADV0E7450J,1,NO_ANSWER,0,0,,Y
CALL7TI3C1R9O0,2025-05-16T10:09:14,AGUNPU4E,ZM,CAMPW2PCN9T8,LEADF060O4VF,1,NO_ANSWER,0,0,,Y
CALLS4KFQH16MN,2025-05-16T10:14:06,AGPUZHHO,ZM,CAMPW2PCN9T8,LEAD1KP2GVPG,1,CONNECTED,305,20,NOT_INTERESTED,Y
CALLXB9U0Z69P8,2025-05-16T10:27:29,AGIPG6A2,ZM,CAMPW2PCN9T8,LEADBXCE9ZKI,1,CONNECTED,204,17,CALLBACK,Y
CALL7OWE5ESAGK,2025-05-16T10:28:52,AGGV3WAG,KE,CAMPVF1T2TAL,LEADQ3VILURQ,1,NO_ANSWER,0,0,,Y
CALLOPTK2YI5YH,2025-05-16T10:29:38,AGNVMO1O,ZM,CAMPW2PCN9T8,LEAD3IFZXSBC,1,CONNECTED,10,49,CALLBACK,N
CALL80O2UIKJOG,2025-05-16T10:58:53,AG9DVELY,ZM,CAMPJIUJV6OH,LEADT9DYFNGP,1,RING,0,0,,N
CALLOXH3BB3MHO,2025-05-16T10:59:24,AGJZTRHX,UG,CAMPJ5PHT0HL,LEAD1XJ7WWUD,1,CONNECTED,140,7,CALLBACK,Y
CALLT5PBZVKCU3,2025-05-16T11:08:23,AGGRRQ01,GH,CAMP7XVG0FN9,LEADPPRCJIWV,1,CONNECTED,10,13,CALLBACK,Y
CALLPDRCVSLMWN,2025-05-16T11:38:18,AGTB8VFQ,UG,CAMPJ5PHT0HL,LEADA6SRG1YD,1,NO_ANSWER,0,0,,Y
CALLDWFSECNHNH,2025-05-16T11:40:42,AG89NZHQ,ZM,CAMPW2PCN9T8,LEAD1IEIXWC4,1,BUSY,0,0,,Y
CALLDJV66P8CMT,2025-05-16T11:50:02,AGO1XQOV,KE,CAMPFD0TVBDI,LEADFIY5PU5W,1,NO_ANSWER,0,0,,Y
CALL9RJFTVJRQ4,2025-05-16T11:56:27,AGOXV6Y6,GH,CAMP4V30T9NT,LEADTGG50YQL,1,CONNECTED,10,26,CALLBACK,Y
CALL9RXB814ZR0,2025-05-16T12:19:21,AGTB8VFQ,KE,CAMPPQK51FPK,LEADPN0P1XS9,1,NO_ANSWER,0,0,,Y
CALLV0V846AOES,2025-05-16T12:30:07,AGX09LPX,KE,CAMPLC58DRC1,LEADREV361XS,1,CONNECTED,10,19,,Y
CALLFQE50C7WXG,2025-05-16T12:40:22,AGKHYB0R,KE,CAMPFD0TVBDI,LEADRV68JQ12,1,CONNECTED,42,9,NOT_INTERESTED,Y
CALLDQZPE1BLHH,2025-05-16T12:52:44,AGBVYSIK,GH,CAMPX1945NQ4,LEADBQZRWJXL,1,CONNECTED,100,5,NOT_INTERESTED,Y
CALLSP271HESSW,2025-05-16T12:54:24,AGGRRQ01,GH,CAMP7XVG0FN9,LEADN67LM8E4,1,CONNECTED,243,39,NOT_INTERESTED,Y
CALLS8MJZPMKS1,2025-05-16T13:01:53,AG5U2691,UG,CAMPIBLJH75L,LEAD74U77W9A,1,NO_ANSWER,0,0,,Y
CALL9JQF56YF21,2025-05-16T13:05:40,AGJNJ0KX,ZM,CAMPW2PCN9T8,LEADNMS6XVQP,1,NO_ANSWER,0,0,,Y
CALL8R469YZWZZ,2025-05-16T13:50:18,AGGJN567,GH,CAMP7XVG0FN9,LEAD8GL2ZXJM,1,CONNECTED,278,5,OTHER,Y
CALLEI8A50FCMA,2025-05-16T13:58:53,AGSOAVA6,KE,CAMPFD0TVBDI,LEAD7DCBHHLK,1,CONNECTED,1072,27,WRONG_NUMBER,Y
CALL7IF49VIAEQ,2025-05-16T14:00:47,AG53A8B5,KE,CAMPVF1T2TAL,LEADI4SP7QFQ,1,CONNECTED,181,10,CALLBACK,Y
CALLE4S13ZWXQQ,2025-05-16T14:37:47,AGCT71WB,UG,CAMPIBLJH75L,LEADZI5SGWCR,1,CONNECTED,399,46,NOT_INTERESTED,Y
CALLWTFK8EC20R,2025-05-16T14:46:58,AGPUZHHO,ZM,CAMPW2PCN9T8,LEAD2Y9V86WZ,1,NO_ANSWER,0,0,,Y
CALLI2DQL3L6C9,2025-05-16T14:49:25,AGSOAVA6,KE,CAMPFD0TVBDI,LEADF2CTG08Z,1,NO_ANSWER,0,0,,Y
CALL15LQRBJDAA,2025-05-16T15:32:22,AGNADA1K,ZM,CAMPJIUJV6OH,LEADLXPOUV75,1,CONNECTED,322,11,,Y
CALLZY0Y5BLW0A,2025-05-16T15:33:20,AGESZBAI,GH,CAMP4V30T9NT,LEADJD2V1L1V,1,BUSY,0,0,,Y
CALLJ13SYRR41S,2025-05-16T15:36:08,AGIPG6A2,ZM,CAMPJIUJV6OH,LEAD6T94OW3L,1,NO_ANSWER,0,0,,N
CALLRGEVPG4GMA,2025-05-16T15:48:54,AGQ1RUCL,GH,CAMP7XVG0FN9,LEADXV5CIX39,1,NO_ANSWER,0,0,,Y
CALLCO7PVKC4MW,2025-05-16T15:50:19,AGHJQMQU,KE,CAMPXEPQ85JS,LEADVZPVWLL5,1,CONNECTED,58,15,NOT_INTERESTED,N
CALLPFW89JG8IQ,2025-05-16T15:56:43,AG26XPJ2,GH,CAMPX1945NQ4,LEADFQF5E8OS,1,NO_ANSWER,0,0,,Y
CALLLEQWFFYZGG,2025-05-16T16:06:21,AGUNPU4E,UG,CAMPJ5PHT0HL,LEAD4EUBYGS0,1,ABANDONED,0,0,,Y
CALLGBUHVSNGOY,2025-05-16T16:19:14,AG81GX5Y,ZM,CAMPW2PCN9T8,LEAD4SOR8WM9,1,CONNECTED,48,7,CALLBACK,N
CALL1OD37898WY,2025-05-16T16:29:26,AG9ZQNKY,GH,CAMPX1945NQ4,LEAD64CAQKDM,1,NO_ANSWER,0,0,,Y
CALLO14GKPS48G,2025-05-16T16:58:24,AG456H95,ZM,CAMPJIUJV6OH,LEADSCBZ95ZN,1,CONNECTED,21,5,WRONG_NUMBER,Y
CALLNJYQN6WAHY,2025-05-16T17:45:52,AGHJQMQU,KE,CAMPPQK51FPK,LEADN89LTAJW,1,NO_ANSWER,0,0,,Y
CALLS9W8AX6WPG,2025-05-16T17:48:44,AG9ZQNKY,GH,CAMPX1945NQ4,LEADC8UYO57P,1,NO_ANSWER,0,0,,Y
CALLZ7QEMZ0FY7,2025-05-16T17:52:41,AGP1M2VC,UG,CAMPIBLJH75L,LEADCBI6QSRE,1,CONNECTED,29,19,,Y
CALLHYFWAB9JH2,2025-05-16T18:12:01,AG37A67E,ZM,CAMPW2PCN9T8,LEAD1K7F5OA3,1,ABANDONED,0,0,,Y
CALLRVKFTPSEY8,2025-05-16T18:44:37,AGB2RH73,ZM,CAMPW2PCN9T8,LEAD6ILVB8DM,1,CONNECTED,124,14,WRONG_NUMBER,Y
CALLKAZJMWN2K8,2025-05-16T19:00:55,AG80ZWVH,UG,CAMPIBLJH75L,LEAD5802XVXI,1,RING,0,0,,Y
CALLOX8I7L0OZ6,2025-05-16T19:07:06,AGFASEMU,UG,CAMPIBLJH75L,LEADJS18L9GJ,1,NO_ANSWER,0,0,,Y
CALL2LB981EWHV,2025-05-16T19:09:21,AG26XPJ2,KE,CAMPFD0TVBDI,LEADXVH7KATQ,1,CONNECTED,182,62,,Y
CALLPXZDV4V6XR,2025-05-16T19:12:16,AGX09LPX,KE,CAMPPQK51FPK,LEAD7HY7AI33,1,NO_ANSWER,0,0,,Y
CALLU8PV8WF11D,2025-05-16T19:21:35,AGN8S7YV,KE,CAMPVF1T2TAL,LEADQOIVWQM9,1,BUSY,0,0,,Y
CALL9F6DQ4LZ33,2025-05-16T19:32:02,AGHZEDCJ,KE,CAMPLC58DRC1,LEADLUCLLE4A,1,NO_ANSWER,0,0,,Y
CALL5JD466Y42O,2025-05-16T19:42:03,AGZPEUWD,KE,CAMPLC58DRC1,LEADUMUNLBNQ,1,CONNECTED,246,34,WRONG_NUMBER,Y
CALLTFL1NW2UU0,2025-05-16T19:50:43,AGO1XQOV,KE,CAMPFD0TVBDI,LEADVIP3TVF5,1,NO_ANSWER,0,0,,Y
CALLRIUAI2BCDC,2025-05-16T20:23:19,AG10KWCC,KE,CAMPVF1T2TAL,LEADHM38KSZB,1,CONNECTED,12,38,CALLBACK,Y
CALLXP0UZXCYN1,2025-05-16T20:48:34,AGYJEEDP,UG,CAMPJ5PHT0HL,LEADOQGVZHQJ,1,RING,0,0,,Y
CALLQ3I0HGGYMM,2025-05-16T21:12:05,AGVRO5X1,KE,CAMPPQK51FPK,LEADZKWIJ0KZ,1,CONNECTED,152,11,CALLBACK,Y
CALL32M1SIN5L7,2025-05-16T21:32:08,AGV1FFOF,GH,CAMP7XVG0FN9,LEAD2ZKF5B1S,1,NO_ANSWER,0,0,,Y
CALLS7DC6JAEO2,2025-05-16T21:49:41,AGYJEEDP,UG,CAMPIBLJH75L,LEADBF57J2XI,1,ABANDONED,0,0,,Y
CALLKQBFVQHOE8,2025-05-16T22:08:34,AGNVMO1O,GH,CAMPX1945NQ4,LEADSAJXXO9Z,1,CONNECTED,71,29,NOT_INTERESTED,Y
CALLNGSVR994V3,2025-05-16T22:46:53,AGRDDN7P,KE,CAMPPQK51FPK,LEAD5GOFC5WU,1,CONNECTED,584,59,WRONG_NUMBER,Y
CALLO91OA8NZF9,2025-05-16T22:50:17,AG5HFSH6,KE,CAMPFD0TVBDI,LEADB828192V,1,BUSY,0,0,,Y
CALLCMT77HVX55,2025-05-16T22:55:27,AG456H95,ZM,CAMPW2PCN9T8,LEADCMVH0EQT,1,CONNECTED,12,48,NOT_INTERESTED,Y
CALLWGYLLR6ZAY,2025-05-16T22:57:31,AGP62LTG,GH,CAMP7XVG0FN9,LEAD5P1V3ZO7,1,NO_ANSWER,0,0,,Y
CALLSRQUZKWHZM,2025-05-16T23:08:43,AGJAZF74,KE,CAMPVF1T2TAL,LEADGAMRH4FZ,1,CONNECTED,13,43,CALLBACK,Y
CALLVXXLXYU6BH,2025-05-16T23:28:05,AG8BZBO3,GH,CAMP7XVG0FN9,LEADMVIFIIT2,1,CONNECTED,70,32,CALLBACK,Y
CALLQE0LULW8GI,2025-05-16T23:29:04,AGYK7E31,GH,CAMP4V30T9NT,LEADXET8SJTN,1,CONNECTED,62,27,NOT_INTERESTED,Y
CALLGR84ZPB1DP,2025-05-16T23:29:29,AG5115ZG,GH,CAMP7XVG0FN9,LEADBY49E7EO,1,ABANDONED,0,0,,N
CALLL6IJWZC0R5,2025-05-16T23:49:02,AG1QOOHF,KE,CAMPVF1T2TAL,LEADXKPM21B0,1,NO_ANSWER,0,0,,Y
CALL7HXR4G0CYO,2025-05-16T23:57:12,AGX7X8W4,UG,CAMPJ5PHT0HL,LEADQ2BAJDM5,1,CONNECTED,116,43,NOT_INTERESTED,Y
CALL9YCM9PO2FK,2025-05-17T00:00:42,AG9DVELY,ZM,CAMPJIUJV6OH,LEADRYFZMYOA,1,CONNECTED,95,22,NOT_INTERESTED,Y
CALLD379CP74IQ,2025-05-17T00:07:35,AGC3V8MO,KE,CAMPPQK51FPK,LEADXVUGW6M7,1,NO_ANSWER,0,0,,Y
CALL1GBAKKR60U,2025-05-17T00:32:32,AGHJQMQU,KE,CAMPLC58DRC1,LEADNDOZ6WYQ,1,NO_ANSWER,0,0,,Y
CALLODAD46Y07B,2025-05-17T00:42:38,AGDGKOU3,ZM,CAMPW2PCN9T8,LEADK01TNZRF,1,NO_ANSWER,0,0,,Y
CALLL0136LEOTW,2025-05-17T00:58:44,AGDGKOU3,UG,CAMPJ5PHT0HL,LEAD1JH6OXQQ,1,CONNECTED,138,108,,Y
CALLO5I9GIXBEE,2025-05-17T01:15:16,AGKDM6Z6,ZM,CAMPW2PCN9T8,LEAD50OP7XMR,1,NO_ANSWER,0,0,,Y
CALL6S0JECKOU0,2025-05-17T01:20:10,AG2NAFH6,ZM,CAMPW2PCN9T8,LEADBH811KER,1,CONNECTED,12,22,,Y
CALLDY1Q1EKVIP,2025-05-17T01:48:18,AGQ9Y4YZ,UG,CAMPIBLJH75L,LEADRKBZWB1U,1,NO_ANSWER,0,0,,Y
CALLW2WOTCYPJB,2025-05-17T01:55:54,AGZAQ3UZ,UG,CAMPIBLJH75L,LEADKGYGGSNP,1,CONNECTED,258,21,NOT_INTERESTED,Y
CALLIUOWVLSCMT,2025-05-17T01:58:34,AGAXVFGI,KE,CAMPVF1T2TAL,LEADZ7CN0EQW,1,CONNECTED,59,5,NOT_INTERESTED,Y
CALLWOSIWUEJTY,2025-05-17T02:30:16,AGNA46N0,GH,CAMP7XVG0FN9,LEADVPYMB5M9,1,CONNECTED,278,38,NOT_INTERESTED,Y
CALLO5KB887KAJ,2025-05-17T02:43:37,AGVEKT47,UG,CAMPJ5PHT0HL,LEADPKXYWZ76,1,NO_ANSWER,0,0,,N
CALLMPCVS8POLA,2025-05-17T03:39:40,AGRBLB8T,ZM,CAMPJIUJV6OH,LEAD8ZGVWWUS,1,NO_ANSWER,0,0,,Y
CALL7T8X5GK2V3,2025-05-17T04:00:06,AGZAQ3UZ,UG,CAMPIBLJH75L,LEADDXVL5PVY,1,NO_ANSWER,0,0,,Y
CALLUMFOZYBBM6,2025-05-17T04:14:56,AGBVYSIK,ZM,CAMPW2PCN9T8,LEADW9JA2M0W,1,CONNECTED,30,5,NOT_INTERESTED,Y
CALLP46O05TJ0O,2025-05-17T04:26:03,AG59SHE9,GH,CAMP7XVG0FN9,LEADS151M4I3,1,CONNECTED,147,9,WRONG_NUMBER,Y
CALLKGF9ERFFA3,2025-05-17T04:47:11,AG6D6SUZ,KE,CAMPXEPQ85JS,LEADGNPYHRFO,1,CONNECTED,216,40,NOT_INTERESTED,Y
CALLM0C3VFRNR4,2025-05-17T05:14:40,AGYQO89L,ZM,CAMPJIUJV6OH,LEADDGHBTMPT,1,NO_ANSWER,0,0,,Y
CALLLL7BXA2KWV,2025-05-17T05:14:53,AGTS03L3,GH,CAMP7XVG0FN9,LEAD00EZZF8S,1,BUSY,0,0,,Y
CALL1Q4VN2UNGR,2025-05-17T05:28:46,AG4HKSHR,UG,CAMPJ5PHT0HL,LEADEYYLH9P1,1,CONNECTED,34,53,TECH_ISSUE,Y
CALLUMOKTD3FKS,2025-05-17T05:43:10,AG59SHE9,GH,CAMP4V30T9NT,LEADQ46PL5NB,1,NO_ANSWER,0,0,,Y
CALLOM1VYVGR7T,2025-05-17T05:46:33,AG80ZWVH,UG,CAMPJ5PHT0HL,LEADX6ZDCUJQ,1,CONNECTED,26,5,,Y
CALLXNEKR51D9J,2025-05-17T05:52:11,AGN385C6,GH,CAMPX1945NQ4,LEADPNRIM1Y6,1,BUSY,0,0,,Y
CALLFF7X0GAATD,2025-05-17T05:58:47,AGPCX1AV,ZM,CAMPJIUJV6OH,LEADUM32YP15,1,NO_ANSWER,0,0,,Y
CALLRMQUBVMLY3,2025-05-17T06:10:48,AG5HFSH6,KE,CAMPPQK51FPK,LEADPSAUE5RA,1,NO_ANSWER,0,0,,Y
CALLIO7B3I0C8P,2025-05-17T06:25:45,AGG7V6TV,UG,CAMPJ5PHT0HL,LEADDXVL5PVY,1,CONNECTED,29,24,WRONG_NUMBER,Y
CALLF08GCLNARL,2025-05-17T07:08:07,AGPCX1AV,ZM,CAMPJIUJV6OH,LEAD4SOR8WM9,1,CONNECTED,268,13,TECH_ISSUE,N
CALLMTXSN27C9T,2025-05-17T07:08:44,AGZPEUWD,KE,CAMPFD0TVBDI,LEAD00H2K2P3,1,NO_ANSWER,0,0,,Y
CALLVPOAUIR8BD,2025-05-17T07:37:36,AGV1FFOF,GH,CAMPX1945NQ4,LEAD8D1WJCIT,1,BUSY,0,0,,Y
CALL4T0MURZ6RB,2025-05-17T07:42:55,AGGJN567,GH,CAMP4V30T9NT,LEAD5RY6Q2M8,1,NO_ANSWER,0,0,,Y
CALLWNQT2K27TJ,2025-05-17T07:42:59,AGJAZF74,KE,CAMPFD0TVBDI,LEADLX8UY5VW,1,CONNECTED,94,5,NOT_INTERESTED,Y
CALL6IP6C9NSJ3,2025-05-17T07:44:05,AGE1KLYR,UG,CAMPJ5PHT0HL,LEAD7B1IJIYS,1,NO_ANSWER,0,0,,N
